id;is_closed;sex;country_id;country_title;bdate;city_id;city_title;universities_chair;universities_chair_name;universities_city;universities_country;universities_education_form;universities_education_status;universities_faculty;universities_faculty_name;universities_id;universities_name;schools_city;schools_country;schools_id;schools_name
8951962;True;2;1;Россия;5.2;627;Симферополь;;;;;;;;;;;;;;
8962181;False;1;1;Россия;1.4.1977;2;Санкт-Петербург;1839769;Морских и воднотранспортных сооружений;2;1;Очное отделение;Выпускница (бакалавр);2157466;Инженерно-строительный институт;56;СПбГПУ Политех;2, 2;1, 1;54, 66011;Гимназия №261, Школа №264
8965010;True;1;1;Россия;28.4.1990;185;Севастополь;;;;;;;;;;;;;;
9007761;False;1;1;Россия;;2;Санкт-Петербург;;;;;;;;;;;;;;
9019507;False;2;2;Украина;;185;Севастополь;64803;Технологии машиностроения (ТМ);185;2;Очное отделение;Кандидат наук;88114;Политехнический институт;1032;СевНТУ (бывш. СГТУ, СПИ);185;2;28950;Школа № 46
9024270;True;1;1;Россия;18.7.1983;185;Севастополь;;;;;;;;;;;;;;
9052950;False;2;1;Россия;9.12;5103;Чистополь;58449;Механизация АПК;5103;1;Заочное отделение;;48450;;631;ИНЭКА;88, 88, 88;1, 1, 1;757, 2678, 51624;Школа № 22, Школа № 38, Технический
9053682;False;2;1;Россия;30.7.1986;818;Ялта;;;;;;;;;;;;;;
9071206;False;1;1;Россия;6.8.1985;1013970;Крым;;;;;;;;;;;;;;
9086465;True;1;1;Россия;;185;Севастополь;;;;;;;;;;;;;;
